,A,B,C
2648,NUM,count, How many real fruit juices are there in a can of Hawaiian Punch ?
2649,ABBR,abb, What is the abbreviation of the National Bureau of Investigation ?
2650,LOC,other, What is the principal river of Ireland ?
2651,LOC,other, What lake is the source of the White Nile ?
2652,ENTY,sport, Garry Kasparov plays what game ?
2653,NUM,weight, How much does a poodle weigh ?
2654,DESC,def, What is Zionism ?
2655,HUM,gr, What cable network bills itself as `` the family entertainer '' ?
2656,NUM,count, How many points are there on a Backgammon board ?
2657,DESC,desc, What have you not let a tennis ball do if you volley ?
2658,ENTY,cremat, Which comic book was not spawned directly from the pulp magazines ?
2659,ENTY,product," What product is for kids , and not for silly rabbits ?"
2660,DESC,def, What else has the swastika stood for ?
2661,DESC,reason," Why do people get goosebumps when they have something emotional happen to them , like when they hear a beautiful piece of music , or see something beautiful , or get aroused by someone they love ?"
2662,NUM,count, How many frames does a disk camera shoot ?
2663,ENTY,other, What are the 7 Wonders of the World ?
2664,NUM,date, When did Theo Rousseau paint the `` Forest of Fontaine '' ?
2665,NUM,count, How many people have been Captain America ?
2666,DESC,def, What is meant by the term `` yield to maturity '' in reference to bonds ?
2667,ENTY,food," What became the biggest cash crop in the U.S. in 1983 , surpassing corn ?"
2668,DESC,manner, How did the war of 1812 affect Delaware ?
2669,ENTY,body, Where is the human skin least sensitive ?
2670,HUM,ind," What President was meant for , but never placed in , the empty crypt beneath the capital 's rotunda ?"
2671,ENTY,other, What is the biggest `` thing '' humans have made ?
2672,LOC,other, What are all the rivers in Europe ?
2673,HUM,ind, Who won the Superbowl in ?
2674,ENTY,other, What five cards make up a perfect Cribbage hand ?
2675,NUM,date, In what year was Gandhi assassinated ?
2676,NUM,period, What is the time it takes a typist to type a screenplay that is 100 pages long ?
2677,ENTY,animal, What is the full classification of a lady bug ?
2678,HUM,ind, What Hungarian cardinal was first a state prisoner and then a refugee in the U.S. embassy 1956-1971 ?
2679,NUM,count, How many pairs of wings does a tsetse fly have ?
2680,ENTY,other, What was the name of the peace agreement imposed on Germany after World War I ?
2681,LOC,country, What 's the fifth-largest country in the world ?
2682,DESC,manner, How do you box train a cat ?
2683,DESC,manner, How was Teddy Roosevelt related to FDR ?
2684,ENTY,cremat, What newspaper serves Salt Lake City ?
2685,NUM,date, The film `` Jaws '' was made in what year ?
2686,DESC,manner, How does lightning travel ?
2687,ENTY,food, What spice do chefs pay the most for ?
2688,HUM,ind, Who directed Citizen Kane ?
2689,DESC,def, What is troilism ?
2690,ENTY,veh, What was the sister ship of the Olympic ?
2691,HUM,ind, What is the nickname of the famous flyer who mistakenly flew to Ireland instead of to Los Angeles ?
2692,ABBR,exp, What is HTML ?
2693,DESC,manner, How do you identify prime numbers ?
2694,HUM,ind," Whose special bear 's creator was born on January 18 , 1779 ?"
2695,HUM,gr, What high school does Archie attend ?
2696,ENTY,animal, What animal migrates the farthest ?
2697,ENTY,cremat, What film was based on the play Everybody Comes to Rick 's ?
2698,DESC,reason, Why do we call someone `` honey '' ?
2699,ENTY,food, Madonna hocks which soft drink ?
2700,HUM,gr, What television network flogged its sports programming on Inga Nielsen 's body in 197 ?
2701,LOC,country, In what country is Lund ?
2702,ENTY,cremat, What 's the sequel to Alice 's Adventures in Wonderland ?
2703,LOC,city, What is the capital of Seattle ?
2704,HUM,ind, What Italian leader had a lifelong fear of the evil eye ?
2705,LOC,city, What city in Florida is Sea World in ?
2706,HUM,ind, Who said 
2707,DESC,def, What 's a water funnel ?
2708,ENTY,dismed, What is a fear of worms ?
2709,DESC,def, What is a Chinese `` spouting '' bowl ?
2710,DESC,desc, What does an emperor do ?
2711,HUM,ind, What president kissed the Queen Mother on the lips ?
2712,LOC,other, Where does the tennis star Stefan Edberg come from ?
2713,LOC,other, What continent pushes up the Executive Committee mountain range ?
2714,DESC,manner, How do they raise the cranes when building high-rise buildings ?
2715,DESC,reason," What was Al Capone finally imprisoned for , in 1931 ?"
2716,ENTY,food, What food can I use to catch a possum ?
2717,HUM,ind, What was Al Capone 's nickname ?
2718,HUM,ind, Who was the author of the famous fairy tale `` Snow White and Seven Dwarfs '' ?
2719,LOC,city, What is the largest city in Germany ?
2720,ENTY,dismed, What is a fear of cholera ?
2721,LOC,other, What park contains Firehole River and Fairy Falls ?
2722,LOC,other, What 's the largest island in the West Indies ?
2723,LOC,state, What New England state carries the telephone area code 27 ?
2724,ENTY,other, What is an example of a natural acid-base indicator ?
2725,LOC,other, In what county is Eckley Colorado ?
2726,DESC,manner, How do I find info about rice importers in the world ?
2727,NUM,money," How much does it cost to have a tree planted by dialing , 900 , 740-TREE ?"
2728,DESC,desc, What is the song Stairway to Heaven by Led Zeppelin about ?
2729,DESC,manner, How does hair curl ?
2730,ENTY,other, What are pushed and coupled in hump yards ?
2731,NUM,period, How long do hermit crabs live ?
2732,LOC,city, What city hosted the first Winter Olympics in Asia ?
2733,DESC,desc, What is the origin of the first name ` Breony ' ?
2734,NUM,date, What month were you born in if your birthstone is sardonyx ?
2735,HUM,ind, Who is behind the name of the Harvey Wallbanger drink ?
2736,DESC,desc, What is the origin of `` Beauty is in the eye of the beholder '' ?
2737,ENTY,food," What soft drink not only has its own video game , but was featured in its own Marvel comic book ?"
2738,ENTY,cremat, What oldtime kids ' fare did TV Guide writer Jeff Greenfield call `` one of the most...subversive TV shows in American history '' ?
2739,ENTY,food, Madonna advertises for what soft drink ?
2740,ABBR,exp, What does A&W of root beer fame stand for ?
2741,ENTY,termeq, What tennis term is said to come from the French word for egg ?
2742,ENTY,other, What does a collier mine ?
2743,NUM,money, How much money can a person be fined for having a dog on a beach ?
2744,LOC,country," What desert country borders Saudi Arabia , Iraq and the Persian Gulf ?"
2745,ENTY,event, What are the ages in comic book lingo ?
2746,ENTY,animal, What kinds of animals are in Cambodia ?
2747,HUM,gr, What South African producer had a 1988 profit of $836 million ?
2748,HUM,ind, What American actress was the first to be called a `` vamp '' ?
2749,DESC,def, What do the 12 days of Christmas mean ?
2750,ENTY,cremat," What John Steinbeck novel portrays the Joad family , driven from the Oklahoma dustbowl ?"
2751,NUM,date, What date did man first land on the moon ?
2752,LOC,other, Where are the headquarters of Eli Lilly ?
2753,NUM,count, How many web servers are there ?
2754,DESC,desc, What 's the last line of Dickens 's A Christmas Carol ?
2755,NUM,count, How many trees go into paper making in a year ?
2756,LOC,other, Where can I find info on research being done on oilseeds thru genetics ?
2757,DESC,reason, How come light bulbs go out ?
2758,DESC,reason, For what reason did the Shea & Gould law firm close their L.A. office ?
2759,NUM,dist, How far out is the universe ?
2760,DESC,desc, What is the difference between a bottle and a jar ?
2761,ENTY,dismed, What disease is the second-biggest killer of North Americans ?
2762,LOC,other, Where did the Mayan Indians live ?
2763,LOC,other, Where was Poe born ?
2764,DESC,desc, What happens to the female body with lack of sleep and food ?
2765,ENTY,dismed, What is a fear of crystals or glass ?
2766,ENTY,product, Name a product that controls the ripening of apples .
2767,NUM,count, How many warmup pitches does a reliever get coming into a baseball game ?
2768,LOC,other, Where did Dylan Thomas die ?
2769,ENTY,animal, What common livestock have the greatest variety of breeds ?
2770,ENTY,cremat, What film had Bette Davis creating a scandal by wearing a daring red gown to a society ball ?
2771,ENTY,dismed, What disease did August von Wassermann develop a specific test for in 196 ?
2772,HUM,gr, What card company sells Christmas ornaments ?
2773,DESC,manner, How do I find out what cities are in a certain area code ?
2774,ENTY,other, What can communications satellites offer yachts ?
2775,NUM,count, How many Fig Newtons are there to the pound ?
2776,HUM,ind, Who is the premier of China ?
2777,HUM,ind, What cigar-chewing comedian observed 
2778,NUM,count, How many bones are there in the human hand ?
2779,HUM,gr, What bread company used to feature stickers of the Cisco Kid on the ends of their packages ?
2780,HUM,ind, Who was the president of Vichy France ?
2781,HUM,ind, Whose kidnaping was termed The Crime of the Century ?
2782,DESC,def, What is hydrogen ?
2783,HUM,gr, What group asked the musical question Do You Believe in Magic ?
2784,LOC,other, What was the tallest building in America in 1922 ?
2785,HUM,ind, What buxom blonde appeared on the cover of more than 5 magazines ?
2786,DESC,def, What is recruitment interview technique ?
2787,DESC,manner, How does a hurricane form ?
2788,DESC,def, What does the donation process entail ?
2789,NUM,dist, How far is it from Phoenix to Blythe ?
2790,LOC,city, What New Hampshire hamlet rises early to vote first in U.S. presidential elections ?
2791,NUM,count, How many people watch network television ?
2792,ENTY,product," What garment was named for Bradley , Voorhees and Day ?"
2793,HUM,ind, Who first broke the sound barrier ?
2794,DESC,manner, How do birds have sex ?
2795,NUM,count, How many horses are there on a polo team ?
2796,ENTY,other, What 's destroyed in Genesis 19 
2797,ENTY,event, What new year is celebrated on February 16th ?
2798,DESC,def, What is Occam 's Razor ?
2799,LOC,other, Where do the Grimace and Mayor McCheese live ?
2800,NUM,period, How long does it take to hike the entire Appalachian Trail ?
2801,HUM,ind, What role do fruits play in the survival of plants ?
2802,LOC,other, Where is the world championship sled dog race held each February ?
2803,DESC,reason, What are the medical purposes of `` clitoridectomy '' ?
2804,DESC,def, How is thalassemia defined ?
2805,ENTY,cremat, What 's the name of the Tampa newspaper ?
2806,DESC,def, What is a storm surge ?
2807,DESC,manner, How do you use `` farther '' as opposed to `` further '' ?
2808,ENTY,other, What was the alternate to VHS ?
2809,ENTY,lang, What is one of the languages of the Sioux ?
2810,HUM,ind, What Pulitzer Prize-winning novelist ran for mayor of New York City ?
2811,NUM,count, How many times can a nickel-cadmium rechargeable battery be recharged ?
2812,DESC,manner, How is cologne made ?
2813,ENTY,food, What was the food of the Greek gods called ?
2814,DESC,def, What does camera-ready art mean ?
2815,NUM,count, How many seats does the Batmobile sport ?
2816,NUM,count, How many cards are dealt to each player in Gin Rummy ?
2817,DESC,desc, What happened to Phillip Taylor Kramer ?
2818,ENTY,cremat, What Erica Jong novel deals with Isadora Wing 's fear ?
2819,NUM,date, What time of year do most people fly ?
2820,HUM,ind, Who was Scrooge 's dead partner in Dickens 's A Christmas Carol ?
2821,DESC,desc, What is the origin of the Christmas tree ?
2822,NUM,date, When is the Thai New Year ?
2823,ENTY,sport, What four tournaments make up tennis ' Grand Slam ?
2824,ENTY,cremat, What 1964 film introduced the song My Kind of Town ?
2825,HUM,ind, Who recorded the 1957 hit Tammy ?
2826,ENTY,termeq, What is the term for the side of the mountain that faces the prevailing winds ?
2827,ENTY,other," In Kafka 's Metamorphosis , the hero awakes one morning to find himself turned into what ?"
2828,ENTY,termeq, What does caliente translate to in English ?
2829,HUM,ind, Who is Mia Farrow 's mother ?
2830,DESC,manner, How do you determine if a computer monitor has an SVGA adapter ?
2831,NUM,dist, How far can a human eye see ?
2832,NUM,date, What time of year has the most air travel ?
2833,DESC,def, What does the term `` spaghetti western '' mean ?
2834,NUM,date, When was the G7 group of nations formed ?
2835,DESC,desc, What are differences between 1980 and 1990 ?
2836,HUM,ind, What baseball player was walked the most times ?
2837,HUM,ind, What famous male vocalist has the same name as the composer of the opera Hansel and Gretel ?
2838,ENTY,food, What were the first frozen foods ?
2839,DESC,reason, Why is Indiglo called Indiglo ?
2840,ENTY,word, What is the word for love of pain or abuse ?
2841,NUM,date, When did they canonize the Bible ?
2842,HUM,ind, Who was the only president to serve two nonconsecutive terms ?
2843,NUM,perc, What percentage of all world tornados touch down in the US ?
2844,HUM,ind, What labor leader was last seen in the parking lot of a Michigan restaurant ?
2845,NUM,date, When did the Carolingian period begin ?
2846,DESC,desc, What motto ended Merrie Melodies cartoons ?
2847,HUM,ind, Who reports the weather on the `` Good Morning America '' television show ?
2848,NUM,count, How many emperors were there in the Roman Empire ?
2849,HUM,ind, What was the name of `` The Muppets '' creator ?
2850,DESC,def, What is Cabarnet Sauvignon ?
2851,DESC,def, What is a virtual IP address ?
2852,ENTY,animal, What 's the name of the tiger that advertises for Frosted Flakes cereal ?
2853,HUM,ind," Who sent the brief message `` I came , I saw , I conquered '' ?"
2854,ENTY,color, What color is Mr. Spock 's blood ?
2855,HUM,ind, What U.S. Air Force general led the first bombing raid over Tokyo ?
2856,HUM,ind, What U.S. vice-president said 
2857,HUM,ind," What was the name of the first Watergate special prosecutor , later fired by Nixon ?"
2858,DESC,manner, How do movie blues screens work ?
2859,DESC,manner, How does the speed the magnet spins in a generator affect the output of the generator ?
2860,HUM,gr, What 's the supreme policy-making bureau of the Soviet Communist Party ?
2861,DESC,def, What was the Vietnam War ?
2862,DESC,def, What is La Nina ?
2863,DESC,reason, Why did the Globe Theatre burn down ?
2864,NUM,date, On what day were John F and Jackie Kennedy married ?
2865,ENTY,cremat," What was the non-fiction best-seller of 1952 , 1953 and 1954 ?"
2866,DESC,def, What is meant by blood SED rate ?
2867,HUM,gr, Who are the nomadic hunting and gathering tribe of the Kalahari Desert in Africa ?
2868,HUM,ind, Who won a Pulitzer Prize for his novel The Caine Mutiny ?
2869,ENTY,techmeth, What 's the best way to lose the flab under your chin and around your face ?
2870,LOC,other, Where is your corpus callosum ?
2871,ENTY,cremat," What Broadway musical featured the song , `` If I were a rich man ? ''"
2872,HUM,ind, Who portrayed Sherlock Holmes in 14 films between 1939 and 1946 ?
2873,DESC,reason, Why is the development of space so important ?
2874,DESC,desc, What is the nursery rhyme Rock-a-by Baby about ?
2875,LOC,other," When Superman needs to get away from it all , where does he go ?"
2876,NUM,period, How old is singer Freedy Johnston ?
2877,DESC,desc, What is the origin of gametophytic tissue ?
2878,DESC,def, What does Aaron mean ?
2879,ENTY,dismed, What is a fear of hair ?
2880,HUM,ind, What is the name of the pop singer whose song became the theme song for a brand of catsup ?
2881,DESC,def, What is a conifer ?
2882,HUM,ind, Who claimed to be the world 's most perfectly-developed man ?
2883,DESC,desc, What is different about the red and black fox ?
2884,DESC,def, What is e-commerce ?
2885,DESC,manner, How do I tie a tie ?
2886,LOC,other, Where can I get cotton textiles importer details ?
2887,NUM,date, When did Spain and Korea start ambassadorial relations ?
2888,HUM,gr, What kind of people took part in Shays ' Rebellion in Massachusetts in 1787 ?
2889,DESC,def, What is chromatology ?
2890,NUM,count, How many grooves are on a dime 's edge ?
2891,DESC,manner, How was the ACLU formed ?
2892,ENTY,cremat, What are the most albums sold by one artist or band ?
2893,ENTY,sport, The second most popular sport worldwide is what ?
2894,ENTY,other, What do goldfish lose if kept in dimly-lit or running water ?
2895,LOC,other, What canal does the Thatcher Ferry Bridge span ?
2896,HUM,ind, What American won the world Grand Prix driving championship in 1978 ?
2897,NUM,perc, What are the chances of pregnacy if the penis does not penetrate the vagina ?
2898,ENTY,other, What 's the highest hand in straight poker ?
2899,LOC,other, Where can I find a lesson plan for teaching the metric system conversion to American standard ?
2900,ENTY,cremat, What is the name of Kevin Costner 's movie about Sioux Indians ?
2901,DESC,def," What are Kythnos , Siphnos , Seriphos and Mykonos ?"
2902,HUM,ind, Name a female figure skater .
2903,DESC,reason, Why are there no white lines on pro footballs ?
2904,NUM,period, How long would it take for a $ savings bond to mature ?
2905,DESC,manner, How is Abigail Arcane related to the villainous opponent of the Swamp Thing ?
2906,ENTY,other, What did the Congress of Vienna establish ?
2907,NUM,money, What is the average cost for four years of medical school ?
2908,ENTY,substance, What harmful chemicals are in bug spray ?
2909,NUM,count, How many spears are there on Kenya 's flag ?
2910,DESC,desc, What did Mighty Mouse always sing as he went into action ?
2911,LOC,other, Where did George of the Jungle live ?
2912,DESC,manner, How did Bob Marley die ?
2913,NUM,other, What 's men 's par on a 455-yard golf hole ?
2914,NUM,perc, What percentage of American men are alcoholic ?
2915,NUM,money," Dialing , 900 , 740-TREE to have a tree planted will cost how much ?"
2916,NUM,count," In South Korea , how many American Soldiers are there ?"
2917,HUM,ind, Who portrayed Carl Bernstein in All the President 's Men ?
2918,NUM,other, What are the numbers that fit into Fermont 's last theorem ?
2919,HUM,ind, Who was Tiny Tim 's father ?
2920,ENTY,other, What does a heliologist study ?
2921,HUM,ind, Who was Bonnie Blue Butler 's father ?
2922,ENTY,product," What shampoo prevents eczema , seborrhea , and psoriasis ?"
2923,NUM,count, How many Americans have HIV ?
2924,LOC,other, Where do I find information for foreclosure properties on the Internet ?
2925,HUM,ind, Who is the Antichrist ?
2926,ENTY,cremat, What was the first English play written exclusively for children ?
2927,LOC,country, Which Latin American country is the largest ?
2928,LOC,other, What was the former residence of Scottish kings in Edinburgh ?
2929,NUM,count, How many teats does a female goat sport ?
2930,NUM,dist, How tall is kilamanjaro ?
2931,HUM,ind, Who was the lawyer who represented Randy Steven Craft ?
2932,LOC,country, What country buys 25 percent of the world 's tea exports ?
2933,LOC,country, What country is the origin of the band the Creeps ?
2934,ENTY,other, What did the crocodile swallow in Peter Pan ?
2935,DESC,desc, What is the origin of the word `` mushroom '' ?
2936,HUM,ind, Which of the following celebrities was not born in Philadelphia ?
2937,NUM,other, What is the number of American soldiers deployed to South Korea ?
2938,LOC,other, Where is the biggest bell ?
2939,ENTY,product, What is the brand name of the chemical daminozide ?
2940,DESC,manner, How do microwaves work ?
2941,ENTY,cremat, What magazine paid Ernest Hemingway $15 a word to write a bullfighting article ?
2942,NUM,count, What is the estimated total U.S. whitetail deer population ?
2943,HUM,ind, Who wrote the Farmer 's Almanac ?
2944,ENTY,animal," What animal received royal assent as an emblem of Canada on March 24 , 1975 ?"
2945,NUM,other, What number is at 12 o 'clock on a dartboard ?
2946,HUM,gr, Which team won the Super Bowl in 1968 ?
2947,DESC,desc, What is the recommended daily requirement for folic acid for pregnant women ?
2948,ENTY,cremat, What film dramatized the Scopes monkey trial ?
2949,HUM,ind, CNN is owned by whom ?
2950,LOC,country, What country offered Albert Einstein its presidency in 1952 ?
2951,DESC,def, What is the HIGHEST Roman numeral ?
2952,ENTY,cremat," What TV series saw many of its aquatic scenes shot at Silver Springs , Florida ?"
2953,HUM,ind, Who was the 15th century fire-and-brimstone monk who gained control of Florence but ended burnt at the stake ?
2954,DESC,manner, How is digital audio used ?
2955,ABBR,exp, What is AFS ?
2956,HUM,desc, Who was Quetzalcoatl ?
2957,ENTY,product, What operating system do IBM-compatible machines use ?
2958,HUM,ind, What French leader sold Louisiana to the United States ?
2959,LOC,other," What bay sparkles next to Miami , Florida ?"
2960,NUM,count, How many miles of veins are in the circulatory system ?
2961,LOC,other, What famed river flows through Bagdad ?
2962,DESC,manner, How is bubble wrap made ?
2963,DESC,def, What is Java ?
2964,HUM,ind, Who is the prime minister of Japan ?
2965,HUM,ind, What player squats an average of 3 times during a baseball doubleheader ?
2966,HUM,ind, What 's the most common name in nursery rhymes ?
2967,NUM,count, How many `` No '' answers was the What 's My Line ? panel allowed ?
2968,NUM,money, What is the fine for having a dog on a beach ?
2969,HUM,ind," Who wrote the book , `` Song of Solomon '' ?"
2970,LOC,other," Where can one find information on religion and health , the brain and nutrition ?"
2971,HUM,ind, Name the Ranger who was always after Yogi Bear .
2972,ENTY,cremat, What TV show did John Sebastian sing the theme for ?
2973,HUM,ind, Who is the president of the Spanish government ?
2974,HUM,ind, Who holds the career record for the most major league home runs ?
2975,HUM,ind, Which of the following actors worked in New York 's Yiddish Theater ?
2976,HUM,ind, Who invented the stethoscope ?
2977,DESC,def, What is a mathematical factor ?
2978,NUM,count, How many four star generals were there and who are they ?
2979,NUM,date, When did Nixon die ?
2980,ENTY,termeq, What was originally defined as one 1-millionth of the distance from the equator to the Pole ?
2981,HUM,ind, What comedian hit the TV screen in 1951 with the NBC afternoon show Time for Ernie ?
2982,NUM,count, How many members are in the California congressional delegation ?
2983,LOC,other, What erupts every hour at Yellowstone National Park ?
2984,LOC,country, What country contains the highest point in South America ?
2985,HUM,ind, What are Arnold Palmer 's fans called ?
2986,HUM,ind, Who retired with 755 home runs to his credit ?
2987,LOC,other, What constellation represents a hunter with club and shield ?
2988,HUM,ind, Who developed potlatch ?
2989,NUM,period, How long did Shea and Gould practice law in Los Angeles ?
2990,NUM,other, What 's a perfect score in a gymnastics exercise ?
2991,HUM,gr," What group included Abbey Hoffman , Jerry Rubin , and Tom Hayden ?"
2992,DESC,reason, What made Jane Goodall famous ?
2993,NUM,period, At what age did Rossini stop writing opera ?
2994,LOC,city, What Russian seaport has a name meaning `` Lord of the East '' ?
2995,HUM,ind, Name the two actress daughters of John Mills .
2996,NUM,period, How old was Gene Siskel ?
2997,DESC,desc, What can be done about snoring ?
2998,LOC,mount, What Rocky Mountain ridge separates North America 's eastward and westward-flowing rivers ?
2999,HUM,ind, Who is the actress Bette Davis once said she wished she looked like ?
3000,HUM,ind, Who portrayed The Cowardly Lion in The Wizard of Oz ?
3001,ENTY,dismed, What does a chiropodist treat ?
3002,DESC,def, What is porphyria ?
3003,LOC,other, What gate opened on East and West Berlin ?
3004,HUM,ind, Who was the first king of England ?
3005,DESC,reason, What made the Finger Lakes in western New York state ?
3006,ENTY,cremat, In what movie is the number nine found in the title ?
3007,NUM,count, How many calories are there in soy sauce ?
3008,HUM,ind, Who killed Kurt Cobain ?
3009,HUM,ind, Who created the monster in Mary Shelley 's novel Frankenstein ?
3010,LOC,other, What 's the farthest planet from the sun ?
3011,DESC,reason, Why does the sun shine only a short time in Alaska ?
3012,ENTY,dismed, What chemical in red wine is good for the heart and what exactly does it do to your body ?
3013,DESC,manner, How does blood clot ?
3014,NUM,volsize, How big is our galaxy in diameter ?
3015,ENTY,product," What product `` doubles your pleasure , doubles your fun '' ?"
3016,NUM,date, When is a woman most fertile ?
3017,HUM,ind, What son of a 15-year-old Mexican girl and a half-Irish father became the world 's most famous Greek ?
3018,HUM,ind, Who was the first man to return to space ?
3019,ENTY,product, What brand of jeans did Calvin Klein admit in a 1984 interview he felt more comfortable wearing ?
3020,HUM,ind, Who gave Abbie Hoffman his first dose of LSD ?
3021,DESC,desc, What effect does friction have on perpetual motion ?
3022,HUM,title, What did the Seven Dwarfs do for a living ?
3023,HUM,ind, What 4-foot-9 actress in 1984 became the first performer to win an Oscar for playing a character of the opposite sex ?
3024,HUM,ind, Who shot Billy the Kid ?
3025,DESC,desc, What is he doing now ?
3026,HUM,ind, What Mormon leader was said to have had 27 wives ?
3027,ENTY,other, What video format was an alternative to VHS ?
3028,DESC,desc, Where did the term `` 69 '' come from ?
3029,ENTY,substance, What is money made of ?
3030,LOC,other, What 's the name of a hotel in Indianapolis ?
3031,NUM,count, How many people in Tucson ?
3032,LOC,other, Where is Melbourne ?
3033,HUM,ind, With whom did Bush compare Saddam Hussein ?
3034,LOC,country, What country was Mikhail Gorbachev the leader of ?
3035,NUM,weight," What is the recommended weight of a 15 year-old male that is 5 , 6 ?"
3036,HUM,ind, What pillar of the Dutch Renaissance painted Aristotle Contemplating the Bust of Homer ?
3037,LOC,other, What is the largest county in size in Massachusetts ?
3038,HUM,ind, What is the name of the brilliant British economist behind its creation ?
3039,HUM,ind, Who played Sally Rogers on The Dick Van Dyke Show ?
3040,DESC,desc, What is it like to experience a near death episode ?
3041,HUM,ind, What mythical figure carries an hourglass and a scythe ?
3042,NUM,money, How much is a Canadian 1967 twenty dollar gold coin worth ?
3043,DESC,reason, Why didn 't European colonial rule spread until after the first and second industrial revolutions ?
3044,LOC,other, What natural attractions draw the most visitors in the United States ?
3045,HUM,gr, What presidential administration challenged Americans to explore The New Frontier ?
3046,NUM,count, How many years did Sleeping Beauty sleep ?
3047,NUM,period, How long does it take for your body to restore blood after you donate your blood ?
3048,DESC,manner, How do I know someone is truly in love with me ?
3049,ENTY,food, Which of many numbered vats of Scotch was judged best by a panel of experts in 1863 ?
3050,DESC,def, What is literary criticism ?
3051,DESC,manner, How do you throw a housewarming party ?
3052,ENTY,sport, What international sport was originally called hurley ?
3053,LOC,other, What river runs through Liverpool ?
3054,HUM,ind, What famous British actor lost his voice after an operation in 1966 ?
3055,DESC,def, What does the term 3 mean to a newspaper editor ?
3056,HUM,gr, What company makes impulse hardening equipment ?
3057,LOC,country, What country was Kim Philby really working for ?
3058,DESC,desc, What does Freddy Freeman say to become Captain Marvel Jr. ?
3059,LOC,country, What country was Hitler the chancellor of ?
3060,HUM,ind, What is Rona Barrett 's married name ?
3061,NUM,count, How many years make up a lustrum ?
3062,ENTY,other, What are close encounters of the first and second kind ?
3063,HUM,ind, Who is the mathematician that won the Noble Prize for Literature in 1950 ?
3064,HUM,ind, Which glamorous actress is a close friend of Dick Tracy ?
3065,ENTY,cremat, What 1956 Grace Metalious novel was on the best-seller list for two years ?
3066,HUM,gr, Name the three races unleashed by the Celestials in Marvel comics .
3067,NUM,period, How old is the Italian artist Maurizio Pellegrin ?
3068,HUM,ind," What President hit the jogging paths to enhance his athletic image and , sporting No. 39 , almost collapsed during the road race ?"
3069,DESC,desc, What is the distinction of Erle Stanley Gardner 's The Case of the Terrified Typist ?
3070,LOC,city, What North American city would you visit to see Cleopatra 's Needle ?
3071,NUM,date, When was the NFL established ?
3072,LOC,other, Where can I find an Ask An Expert site ?
3073,HUM,ind, What writer-journalist made his mark describing colorful Broadway and underworld characters ?
3074,LOC,state, What U.S. state has the lowest highest elevation at 6 feet ?
3075,HUM,gr, What are the residents of the island of Lesbos called ?
3076,ENTY,other, What is the organizational structure of the New Delhi Indira Gandhi airport ?
3077,ENTY,other," At Christmas time , what is the traditional thing to do under the mistletoe ?"
3078,HUM,ind, What baseball great plugged Mr. Coffee ?
3079,ENTY,sport, What international amateur sports spectacle was first telecast in 1956 ?
3080,DESC,desc, What is the origin of the word `` amen '' ?
3081,HUM,ind, Who 's baby was Sweet Pea on the Popeye cartoon ?
3082,LOC,other, Where is Mile High Stadium ?
3083,ENTY,other," What were Baffin , Frobisher and Franklin looking for ?"
3084,DESC,def, What is limbo ?
3085,LOC,city, What city contains the district of Hell 's Kitchen ?
3086,ENTY,techmeth, What interesting method was used to run the credits in the early Popeye cartoons ?
3087,ENTY,substance, What are the stars made of ?
3088,HUM,ind," What English physician was born on January 18 , 1779 and went on to create two important inventions ?"
3089,HUM,ind," Who did Arthur H. Bremer try to assassinate on May 15 , 1972 ?"
3090,NUM,speed, How fast must a spacecraft travel to escape Earth 's gravity ?
3091,HUM,ind, What apostle is Taylor Caldwell 's Great Lion of God ?
3092,NUM,count, How many rings are there on a five-zone archery target ?
3093,ENTY,dismed," What anesthetic did Queen Victoria allow to be used for the birth of her seventh child , in 1853 ?"
3094,ENTY,substance," What element , from the Periodic Table , is a gas or a solid , but never a liquid ?"
3095,DESC,def, What is a tonne ?
3096,LOC,other, Which one of the Great Lakes is entirely within U.S. territory ?
3097,ABBR,exp, What is DEET ?
3098,HUM,gr, What company sells the most greeting cards ?
3099,LOC,state, What U.S. state has sagebrush as its state flower ?
3100,DESC,def, What is the Bernoulli Principle ?
3101,HUM,ind, What 's comic strip photographer Peter Parker 's secret identity ?
3102,DESC,desc, What is difference between a poster and a print ?
3103,ENTY,sport, In which sport is there a `` scrum '' ?
3104,ENTY,techmeth, What are the best ways to improve employee morale at low cost ?
3105,LOC,country, What nationality is Pope John Paul II ?
3106,DESC,def, What is false consciousness ?
3107,DESC,manner, How did the Great Depression affect Japan 's history ?
3108,ENTY,other, Which side should a bowler facing a 37803 split hit the 3-pin on-the left or the right ?
3109,LOC,other, Where are some great educational resources for parents and teachers ?
3110,NUM,count, How many Israeli athletes were killed at the Munich Olympics ?
3111,ENTY,termeq, What is the Scotch `` for people who know the difference '' ?
3112,NUM,date, When was Richard Nixon born ?
3113,LOC,other, What New York City landmark has 168 steps to its crown ?
3114,LOC,other, Where is the Bulls basketball team based ?
3115,NUM,period, What is the recomended age to switch a child from a crib to a bed ?
3116,HUM,ind, Which Rockefeller was sometimes called `` JDR3 '' ?
3117,NUM,date, When is the Sun closest to the Earth ?
3118,DESC,desc, What are some chemical properties of mendelevium ?
3119,NUM,count, What is the average hours per months spent online by AOL users ?
3120,HUM,ind, Whom did Friz Freleng add to the Warner Bros. cartoon ranks ?
3121,DESC,desc, What is the origin of the word `` sideburns '' ?
3122,ENTY,event, The trials resulting from World War II are known as what ?
3123,ENTY,event, What started in 1849 when gold was discovered at Sutter 's Mill ?
