A,C,B
HUM, What Civil War general wreaked havoc on the south by marching through Georgia on his way to the sea ?,1
HUM, What Cruise Line does Kathie Lee Gifford advertise for ?,1
HUM, What Democratic prankster waved the train out of the station while Richard Nixon spoke from the caboose ?,1
HUM, What Dynasty star made her 2th Century-Fox debut in The Virgin Queen ?,1
HUM, What English explorer discovered and named Virginia ?,1
HUM," What English physician was born on January 18 , 1779 and went on to create two important inventions ?",1
HUM, What English playwright penned ,1
HUM, What English queen had seventeen children ?,1
HUM, What English queen had six fingers on one hand ?,1
HUM, What French designer declared ,1
HUM, What French leader sold Louisiana to the United States ?,1
HUM," What Frenchman claimed the following ? If God did not exist , it would be necessary to invent him . ''",1
HUM, What Good Little Witch is Casper 's girlfriend ?,1
HUM, What Green Bay Packers coach philosophized ,1
HUM, What Hall of Fame pitcher started three World Series Games for the New York Yankees in 1962 ?,1
HUM, What Honeymooners actress did Television magazine name as 1953 's most promising star ?,1
HUM, What Hungarian cardinal was first a state prisoner and then a refugee in the U.S. embassy 1956-1971 ?,1
HUM, What ISPs exist in the Caribbean ?,1
HUM, What Indian tribe is F Troop perpetually doing battle with ?,1
HUM, What Italian leader had a lifelong fear of the evil eye ?,1
HUM, What Ivy League school plays its home games at Palmer Stadium ?,1
HUM, What Japanese electronics company was named for a coastal city northeast of Tokyo ?,1
HUM, What Japanese manufacturer is known for both its pianos and its motorcycles ?,1
HUM, What Louisiana Senator won a seat that had been held by his father and mother ?,1
HUM, What Mexican leader was shot dead in 1923 ?,1
HUM, What Mormon leader was said to have had 27 wives ?,1
HUM, What NFL team did Vince Lombardi end his coaching career with ?,1
HUM, What National Basketball Association superstar told his story in Giant Steps ?,1
HUM, What National League baseball team employed 72 third baseemen in its first 2 seasons ?,1
HUM, What Nazi leader killed himself in jail just before he was to be executed as a war criminal ?,1
HUM, What New Orleans D.A. claimed ,1
HUM, What New York Yankee was known as The Iron Horse ?,1
HUM, What Nobel laureate was expelled from the Philippines before the conference on East Timor ?,1
HUM, What Polynesian people inhabit New Zealand ?,1
HUM, What Pope inaugurated Vatican International Radio ?,2
HUM, What President 's favorite Biblical quotation was ,1
HUM, What President became Chief Justice after his presidency ?,1
HUM, What President dispatched a cruiser to carry Charles Lindbergh home after his epic flight ?,1
HUM, What President had never held an elected office until he was elected to the White House ?,1
HUM," What President hit the jogging paths to enhance his athletic image and , sporting No. 39 , almost collapsed during the road race ?",1
HUM," What President lived at 219 North Delaware Street , Independence , Missouri ?",1
HUM, What President once told Gene Autry ,1
HUM," What President served for five years , six months and 2 days ?",1
HUM, What President was assassinated by Charles J. Guiteau ?,1
HUM," What President was buried at his ancestral home overlooking the Hudson River at Hyde Park , New York ?",1
HUM," What President was meant for , but never placed in , the empty crypt beneath the capital 's rotunda ?",1
HUM, What President-to-be was the first member of Congress to enlist following the attack on Pearl Harbor ?,1
HUM, What Pulitzer Prize-winning novelist ran for mayor of New York City ?,1
HUM, What Russian composer 's Prelude in C Sharp Minor brought him fame and fortune ?,1
HUM, What Russian master spy lived in the U.S. under the name Emil Goldfus ?,1
HUM, What Scottish poet penned To a Mouse and To a Louse ?,1
HUM, What South African producer had a 1988 profit of $836 million ?,1
HUM, What South Vietnamese president was assassinated by his generals in 1963 ?,1
HUM, What Soviet leader owned a Rolls-Royce ?,1
HUM, What Spanish artist painted Crucifixion ?,1
HUM," What TV character said ; `` One of these days , Alice , pow , right in the kisser '' ?",1
HUM, What TV character sired a horse named Thunder ?,1
HUM," What TV comedian worked with White Fang , Black Tooth and Pookie the Lion ?",1
HUM," What TV comediennes 's characters include former movie star Nora Desmond , secretary Mrs. Wiggins and a housewife named Eunice ?",1
HUM, What TV detective did Craig Stevens play ?,1
HUM, What TV family sometimes buys eclairs from Nelson 's Bakery ?,1
HUM, What TV sitcom character had the maiden name Ethel Potter ?,1
HUM, What TV talk-show host lends his name to a line of men 's clothing ?,1
HUM, What Texas surgeon performed the first artificial heart transplant ?,1
HUM, What U.S. Air Force general led the first bombing raid over Tokyo ?,1
HUM, What U.S. Congressman said ,1
HUM, What U.S. Government agency registers trademarks ?,1
HUM, What U.S. President had brothers-in-law in the Confederate army ?,1
HUM, What U.S. President showed a fondness for munching on bee pollen bars ?,1
HUM, What U.S. President was the first to breed mules ?,1
HUM," What U.S. general died December 1 , 1945 , when his jeep collided with a truck ?",1
HUM, What U.S. general was court-martialled for criticizing American air power ?,1
HUM, What U.S. senator once played basketball for the New York Knicks ?,1
HUM, What U.S. university boasts the largest library ?,1
HUM, What U.S. vice-president killed Alexander Hamilton in a duel ?,1
HUM, What U.S. vice-president once declared ,1
HUM, What U.S. vice-president said ,1
HUM, What United States President had dreamed that he was assassinated ?,1
HUM, What World War II leader declared ,1
HUM, What `` marvelous '' major-league baseball player is now a spokesman for a beer company ?,1
HUM, What actor 's autobiography is titled All My Yesterdays ?,1
HUM," What actor , who had greatest fame on TV , became the father of triplets ?",1
HUM," What actor and World War II airman had a $5 , 0 bounty put on his head by Hermann Goering ?",1
HUM, What actor and actress have made the most movies ?,1
HUM, What actor came to dinner in Guess Who 's Coming to Dinner ?,1
HUM, What actor dressed up as Santa Claus and had a once-a-year affair with actress Shelley Winters every Christmas for many years ?,1
HUM, What actor first portrayed James Bond ?,1
HUM, What actor has a tattoo on his right wrist reading Scotland Forever ?,1
HUM, What actor learned to play the saxophone and speak Russian for a role in a movie ?,1
HUM, What actor married John F. Kennedy 's sister ?,1
HUM, What actor said in A Day at the Races ,1
HUM," What actor starred in 1980 's Blue Lagoon , 1982 's The Pirate Movie and 1983 's A Night in Heaven ?",1
HUM, What actor was the first man to appear on the cover of McCall 's ?,1
HUM, What actress 's autobiography is titled Shelley ,1
HUM, What actress has received the most Oscar nominations ?,1
HUM, What actress holds the record for the most appearances on the cover of Life ?,1
HUM, What actress starred in `` The Lion in Winter '' ?,1
HUM, What apostle is Taylor Caldwell 's Great Lion of God ?,1
HUM, What appointments secretary to Richard Nixon went to jail ?,1
HUM," What architect originated the glass house designed the Chicago Federal Center had a philosophy of `` less is more , '' and produced plans that were the forerunner of the California ranch house ?",1
HUM, What are Arnold Palmer 's fans called ?,1
HUM, What are names of two old men who appear in the serial tv Muppets Show ?,1
HUM, What are the characters ' names in the Scooby-Doo cartoon ?,1
HUM," What are the first names of Rowan and Martin , the stars of TV 's Laugh-In ?",1
HUM, What are the first names of the famous husband-and-wife acting team of Lunt and Fontanne ?,1
HUM, What are the five most popular Usenet groups ?,1
HUM, What are the four railways in Monopoly ?,1
HUM, What are the major companies that are part of Dow Jones ?,1
HUM, What are the names of Jack 's original roommates on Three 's Company ?,1
HUM, What are the names of Jacques Cousteau 's two sons ?,1
HUM, What are the names of Richard Nixon 's two daughters ?,1
HUM, What are the only players eligible to score points in Roller Derby called ?,1
HUM, What are the residents of the island of Lesbos called ?,1
HUM, What are the three most successful companies of our time ?,1
HUM, What are the top 10 colleges in the United States in the field of engineering ?,1
HUM, What are the top boy names in the U.S. ?,1
HUM, What are the top ten all-time money making NFL teams ?,1
HUM, What are the top ten most common girl names in the US ?,1
HUM, What army 's motto is Blood and Fire ?,1
HUM, What army was founded by William Booth and his wife Catherine ?,1
HUM, What artist 's studio was the Bateau-Lavoir in Montmartre ?,1
HUM, What astronomer-architect designed the present St. Paul 's Cathedral in London ?,1
HUM, What athlete makes the most money from sports merchandise sales ?,1
HUM, What attorney-general ordered the closing of Alcatraz ?,1
HUM, What attorneys work for The Center for the Defense of Free Enterprise ?,1
HUM, What author did photographer Yousuf Karsh call `` the shiest man I ever met '' ?,1
HUM, What author landed a 468-pound marlin without harness in the early 193 's ?,1
HUM, What author of the Days of Our Lives Cookbook signed on in 198 as Liz Chandler in TV 's Days of Our Lives ?,1
HUM, What author was appointed U.S. ambassador to Spain in 1842 ?,1
HUM, What barroom judge called himself The Law West of the Pecos ?,1
HUM, What baseball great plugged Mr. Coffee ?,1
HUM, What baseball player was known as Charley Hustle ?,1
HUM, What baseball player was walked the most times ?,1
HUM," What baseball star turned down a $1 , 000-a-year contract because he felt he had n't earned it ?",1
HUM, What baseball team became the Minnesota Twins ?,1
HUM, What baseball team owner and sailor is known as The Mouth of the South ?,1
HUM, What baseball team was routinely called `` dem bums '' by its frustrated fans ?,1
HUM," What basketball player is credited with 23 , 924 rebounds ?",1
HUM, What bestselling modern poet was the co-founder of the famous City Lights Bookshop in San Francisco ?,1
HUM, What bottled-up TV character was born in Baghdad ?,1
HUM, What boxer 's life story is titled Raging Bull ?,1
HUM, What bread company used to feature stickers of the Cisco Kid on the ends of their packages ?,1
HUM, What business exports the sparkling wine Spumante ?,1
HUM, What businesses in Alaska were affected by the Exxon Valdez oil spill ?,1
HUM, What businesses or agencies would do an employment verification ?,1
HUM, What buxom blonde appeared on the cover of more than 5 magazines ?,1
HUM, What cable network bills itself as `` the family entertainer '' ?,1
HUM," What camera company said , `` If you haven 't got the time , we 've got the camera ? ''",1
HUM, What card company sells Christmas ornaments ?,1
HUM," What celebrity couple , when going through a divorce , divided their toilet paper into two equal piles ?",1
HUM, What character did Tex Avery first create upon arriving at MGM ?,1
HUM, What character in The Beverly Hillbillies has the given names Daisy Moses ?,1
HUM, What character narrates Treasure Island ?,1
HUM, What cheery fellow got the ZIP code 9971 from the U.S. Postal Service in 1963 ?,1
HUM, What chocolate company gives you a one-pound kiss ?,1
HUM, What cigar-chewing comedian observed ,1
HUM," What cigarette company urged us , `` Come to where the flavor is ? ''",1
HUM, What civilization invented the arch ?,1
HUM, What classical Spanish writer warned ,1
HUM, What college did Dikembe Mutombo play basketball for ?,1
HUM, What college did Joe Namath play football for ?,1
HUM," What college enlivens Hanover , New Hampshire ?",1
HUM, What college football team did Knute Rockne build into a power ?,1
HUM, What college produced the most winning Super Bowl quarterbacks ?,1
HUM, What comedian created a punch-drunk pugilist named Cauliflower McPugg ?,1
HUM, What comedian has a legendary reputation for stealing jokes ?,1
HUM, What comedian hit the TV screen in 1951 with the NBC afternoon show Time for Ernie ?,1
HUM, What comedian was The Perfect Fool ?,1
HUM, What comedian was banned from the Ed Sullivan Show for allegedly making an obscene gesture at the show 's host ?,1
HUM, What comedian was born Allen Stewart Konigsberg ?,1
HUM, What comedienne calls her sister-in-law Captain Bligh and her mother-in-law Moby Dick ?,1
HUM, What comedienne upstaged Dwight D. Eisenhower 's first inauguration by giving birth to her first child ?,1
HUM, What comic of TV 's golden age went by the motto `` Anything for a laugh '' ?,1
HUM, What company 's logo is a `` W '' in a circle ?,1
HUM, What company 's trademark was His Master 's Voice ?,1
HUM, What company has built more than 2.5 billion little green houses since 1935 ?,1
HUM, What company is being bought by Yahoo and how much is the deal worth ?,1
HUM, What company is the largest Japanese ship builder ?,1
HUM, What company makes impulse hardening equipment ?,1
HUM, What company markets a shampoo `` for brunettes only '' ?,1
HUM, What company named one of its pens `` The Banana '' ?,1
HUM, What company produces Spumante ?,1
HUM, What company sells the most greeting cards ?,1
HUM," What company started out making pies , and wound up manufacturing plastic throwing toys ?",1
HUM, What company tabulates the ballots in voting for the Academy Awards ?,1
HUM, What company uses the unfamiliar faces of its celebrity spokespeople to promote the use of its product ?,1
HUM, What company was the original sponsor of TV 's Superman ?,1
HUM, What composer was awarded the Medal of Honor by Franklin D. Roosevelt ?,1
HUM, What contemptible scoundrel stole the cork from my lunch ?,1
HUM, What corporation does Madonna advertise for ?,2
HUM, What costume designer decided that Michael Jackson should only wear one glove ?,1
HUM, What count did Alexandre Dumas write about ?,1
HUM, What court does Bob Woodward describe in The Brethren ?,1
HUM, What creative genius said ,1
HUM, What crooner joined The Andrews Sisters for Pistol Packin Mama ?,1
HUM, What culture developed the idea of potlatch ?,1
HUM, What daughter of Henry VIII and Anne Boleyn became queen of England ?,1
HUM, What department store heir is responsible for raising a three-ton safe from the underwater wreckage of the Andrea Doria ?,1
HUM, What detective lives on Punchbowl Hill and has 11 children ?,1
HUM, What diamond producer controls about 80% of the world 's diamonds ?,1
HUM, What dictator has the nickname `` El Maximo '' ?,1
HUM, What did Andy Hardy 's father do for a living ?,1
HUM, What did the Seven Dwarfs do for a living ?,1
HUM, What diminutive American female gymnast stole the show at the 1984 Olympics ?,1
HUM, What director made one silent and one sound version of The Ten Commandments ?,1
HUM, What director portrayed the commandant of the POW camp in 1953 's Stalag 17 ?,1
HUM, What doctor claimed in a 1946 book ,1
HUM, What doctor is synonymous with footwear and foot care ?,1
HUM, What does Larry King do for a living ?,1
HUM, What does Nicholas Cage do for a living ?,1
HUM, What does Robin Williams do ?,1
HUM, What double talking `` professor '' holds a doctorate in Nothing ?,1
HUM, What dumb-but-loveable character did Maurice Gosfield play on The Phil Silvers Show ?,1
HUM, What dummy received an honorary degree from Northwestern University ?,1
HUM, What engineer invented the pull-tab can ?,1
HUM, What enigmatic U.S. vice president was once tried and acquitted for treason in a plot to set up his own independent empire in the West ?,1
HUM, What ethnic group introduced the idea of potlatch ?,1
HUM, What explorer was nicknamed Iberia 's Pilot ?,1
HUM, What explorers followed Columbus to the Americas ?,1
HUM, What famed clown appeared on an early Howdy Doody Show and insisted that Clarabell be made up as a real clown ?,1
HUM, What famous British actor lost his voice after an operation in 1966 ?,1
HUM," What famous New York City mayor wrote the hit song , `` Will You Love Me in December as You Do in May ? ''",1
HUM, What famous actress made her first appearance on stage at the age of five in the year 191 as `` Baby '' ?,1
HUM," What famous coach said `` if you can 't beat 'em in the alley , you can 't beat 'em on the ice '' ?",1
HUM, What famous comedian recently tried without success to revive the play ?,1
HUM, What famous comic strip character died of acne ?,1
HUM, What famous communist leader died in Mexico City ?,1
HUM, What famous film and TV cowboy lent his name to a fast food chain ?,1
HUM, What famous husband-and-wife team did radio ads for Blue Nun wine ?,1
HUM, What famous male vocalist has the same name as the composer of the opera Hansel and Gretel ?,1
HUM, What famous meat company went out of business because it became known that the underworld had been selling them kangaroo meat ?,1
HUM, What famous model was married to Billy Joel ?,1
HUM, What famous singing cowboy owns the California Angels baseball team ?,1
HUM," What famous soldier was born in Europe , died in Asia , and was laid to rest in Africa ?",1
HUM, What fast-food magnate 's initials graced the left sleeve of the San Diego Padres ' baseball uniforms in 1984 ?,1
HUM, What father and son won the Medal of Honor ?,1
HUM," What feathered cartoon characters do Yugoslavians know as Vlaja , Gaja , and Raja ?",1
HUM, What female faith healer wrote the inspirational book I Believe in Miracles ?,1
HUM, What female painter produced primitives of rural New England life ?,1
HUM, What female suspect in the game of Clue is single ?,1
HUM, What feminist wrote Sexual Politics and Flying ?,1
HUM, What fictional character is known as the `` melancholy Dane '' ?,1
HUM, What first name was Nipsy Russell given at birth ?,1
HUM, What fool is not so wise To lose an oath to win a paradise ?,1
HUM, What football coach 's story was told in the movie Run to Daylight ?,1
HUM, What former African leader held his country 's boxing title for nine years ?,1
HUM, What former major-league left-handed baseball pitcher was known as `` Space Man '' ?,1
HUM, What former president 's daughter has written a book titled Murder in the White House ?,1
HUM, What fruit-topped actress was known as The Brazilian Bombshell ?,1
HUM, What future President became Senate majority whip under Harry Truman ?,1
HUM, What future Soviet dictator was training to be a priest when he got turned on to Marxism ?,1
HUM," What future deer hunter portrayed Annie Hall 's neurotic brother , Duane ?",1
HUM, What girl 's name is `` Teddy '' an affectionate form of ?,1
HUM, What golfer has been called Ohio Fats and Blobbo ?,1
HUM, What government department did The Untouchables work for ?,1
HUM, What group asked the musical question Do You Believe in Magic ?,1
HUM," What group included Abbey Hoffman , Jerry Rubin , and Tom Hayden ?",1
HUM, What group kidnaped Patricia Hearst ?,1
HUM, What group starred in the movie Rock Around the Clock ?,1
HUM," What group was formed in 1969 after police met resistance from patrons at the Stonewall , a Greenwich Village gay bar ?",1
HUM, What hard-of hearing artist painted Sunflowers ?,1
HUM, What has been the most common Christian name of U.S. presidents ?,1
HUM, What heavyweight boxer was known as The Wild Bull of the Pampas ?,1
HUM, What high school does Archie attend ?,1
HUM, What hockey player did Ronald Reagan joke he would swap Texas for ?,1
HUM, What hockey team did Wayne Gretzky play for ?,1
HUM, What ill-fated American general dragged a bull terrier named Willie through World War II ?,1
HUM," What inescapable purveyor of background music celebrated its 5th anniversary in July , 1984 ?",1
HUM, What information can you tell me about actor James Cromwell ?,1
HUM, What international organization was founded by Clara Barton ?,1
HUM, What is Alice Cooper 's real name ?,1
HUM, What is Dr. Ruth 's last name ?,1
HUM, What is Drew Barrymore 's middle name ?,1
HUM, What is Goldfinger 's first name ?,1
HUM, What is Jimmy Olsen 's full name ?,1
HUM, What is Larry King 's job ?,1
HUM, What is Larry King 's occupation ?,1
HUM, What is Li 'l Abner 's last name ?,1
HUM, What is Michael Jackson 's father 's name ?,1
HUM, What is Michael Jackson 's middle name ?,1
HUM, What is Nathan Hamill 's role in the new Star Wars prequel ?,1
HUM, What is Nicholas Cage 's occupation ?,1
HUM, What is Nicholas Cage 's profession ?,1
HUM, What is Pittsburgh 's baseball team called ?,1
HUM, What is Rona Barrett 's married name ?,1
HUM, What is Steve Rogers 's profession when he 's not Captain America ?,1
HUM, What is Supergirl 's secret identity ?,1
HUM, What is `` the airline built for professional travelers '' ?,1
HUM, What is a person called that likes fire ?,2
HUM, What is a society ruled by elders ?,1
HUM, What is an example of a famous rock band from the sixties ?,1
HUM, What is her husband 's name ?,1
HUM, What is her profession ?,1
HUM, What is the Viking Prince 's first name ?,1
HUM, What is the best Internet business to go into ?,1
HUM, What is the best art and design school in the world ?,1
HUM, What is the best college in the country ?,1
HUM, What is the best distance education university or college ?,1
HUM, What is the first personal computer company ?,1
HUM, What is the full name of the man who invented the multicolored game cube that has 42.3 quintillion potential combinations ?,1
HUM, What is the last name of Lucy and Linus from the Peanut 's comic strip ?,1
HUM, What is the most common boy 's or girl 's name ?,1
HUM, What is the most common name ?,1
HUM, What is the most popular last name ?,1
HUM, What is the name of Dolly Parton 's rarely seen husband ?,1
HUM, What is the name of Joan Jett 's band ?,1
HUM, What is the name of Miss India 1994 ?,1
HUM, What is the name of a Greek god ?,1
HUM," What is the name of actor Rex Harrison 's son , who starred in a modestly popular TV show during the late 1960's ?",1
HUM, What is the name of the American swimmer who won seven gold medals in the 1972 Olympics ?,1
HUM, What is the name of the American who was captured when his plane went down over Syrian-held Lebanon ?,1
HUM, What is the name of the Indian who became prime minister by beating Mrs. Gandhi in the 1977 election ?,1
HUM, What is the name of the brilliant British economist behind its creation ?,1
HUM, What is the name of the company that manufactures the `` American Girl '' doll collection ?,1
HUM, What is the name of the deranged super-criminal Otto Octavius uses ?,1
HUM, What is the name of the firm that makes Spumante ?,1
HUM, What is the name of the inventor of silly putty ?,1
HUM, What is the name of the managing director of Apricot Computer ?,1
HUM, What is the name of the police officer who tried to keep order in Top Cat 's neighborhood ?,1
HUM, What is the name of the pop singer whose song became the theme song for a brand of catsup ?,1
HUM, What is the name of the president of Garmat U.S.A ?,1
HUM, What is the name of the woman who was with John Belushi when he died ?,1
HUM, What is the nickname of the famous flyer who mistakenly flew to Ireland instead of to Los Angeles ?,1
HUM, What is the occupation of Nicholas Cage ?,1
HUM, What is the oldest profession ?,1
HUM, What is the present Pope named ?,1
HUM, What is the protagonist 's name in Dostoevski 's `` The Idiot '' ?,1
HUM, What is the real name of disc jockey `` Wolfman Jack '' ?,1
HUM," What is the real name of the singer , Madonna ?",1
HUM, What is the world 's largest distilling company ?,1
HUM, What jockey won 17 Triple Crown races ?,1
HUM, What journalist can be found in and around Walden Puddle ?,1
HUM, What kind of business is 7-Eleven ?,1
HUM, What kind of company is 7-Eleven ?,1
HUM, What kind of organization is ` Last Chance for Animals ' ?,1
HUM, What kind of people took part in Shays ' Rebellion in Massachusetts in 1787 ?,1
HUM, What kind of women gave Sigmund Freud erotic dreams ?,1
HUM, What king boycotted Prince Charles 's wedding ?,1
HUM, What king is satirized in the line ,1
HUM, What king was forced to agree to the Magna Carta ?,1
HUM, What knighted actor narrates TV 's The World at War ?,1
HUM, What labor leader was last seen in the parking lot of a Michigan restaurant ?,1
HUM," What lawyer won the largest divorce settlement , $85 million , in U.S. history for Sheika Dena Al-Farri ?",1
HUM, What level of government or governmental agency is responsible for dealing with racism ?,1
HUM, What little boy and dog live in a shoe ?,1
HUM, What longtime game show host dropped dead while jogging in Central Park in 1984 ?,1
HUM, What major Victorian novelist spent as much time working for the post office as he did writing ?,1
HUM, What major airline has the best safety record in the world ?,1
HUM, What major league baseball team compiled the best won-lost record between 1957 and 1983 ?,1
HUM, What manufacturers are there in Texas ?,1
HUM, What mayor made so many TV appearances he was asked to join AFTRA in 1984 ?,1
HUM," What member of The Little Rascals has an on-again , off-again sweetheart in Darla Hood ?",1
HUM, What monarch signed the Magna Carta ?,1
HUM, What multitalented Academy-award-winning director failed a college course in motion-picture production ?,1
HUM, What mustachioed comedian portrayed Frankie in North to Alaska ?,1
HUM," What mystery writer penned `` ...the glory that was Greece , and the grandeur that was Rome '' ?",1
HUM, What mythical figure carries an hourglass and a scythe ?,1
HUM, What name did football 's New York Titans adopt in 1963 ?,1
HUM, What name does the world know Renaissance artist Kyriakos Theotokopoulos by ?,1
HUM," What new middle school was built in Philadelphia , Pennsylvania last year ?",1
HUM, What non-conformist abstract painter was dubbed Jack The Dripper by Time ?,1
HUM, What occupation has the highest divorce rate ?,1
HUM, What one of the Backstreet Boys are single ?,1
HUM, What onetime member of Ronald Reagan 's cabinet called federal policy toward Indians `` an example of the failure of socialism '' ?,1
HUM, What organization 's offices were broken into at Watergate in 1972 ?,1
HUM, What organization did Mr. Waverly assign agents for ?,1
HUM, What organization has a Security Council ?,1
HUM, What organization is the Security Council a part of ?,1
HUM, What organization was founded by the Rev. Jerry Falwell ?,1
HUM, What painter popularized soup cans and Brillo soap pad boxes ?,1
HUM, What part did Benjamin Franklin play in the development of the newspaper in America ?,1
HUM, What part did John Peter Zenger play in the deveopment of the newspaper in America ?,1
HUM, What party was Winston Churchill a member of ?,1
HUM, What people make up half the Soviet Union 's population ?,1
HUM, What piano company claims its product is the `` Instrument of the immortals '' ?,1
HUM, What pillar of the Dutch Renaissance painted Aristotle Contemplating the Bust of Homer ?,1
HUM, What player squats an average of 3 times during a baseball doubleheader ?,1
HUM, What poet wrote ,1
HUM, What police force did Mack Sennett create ?,1
HUM, What political party is Sinn Fein a part of ?,1
HUM, What president 's ghost is said to haunt the White House ?,1
HUM, What president also became a supreme court justice ?,1
HUM, What president kissed the Queen Mother on the lips ?,1
HUM, What presidential administration challenged Americans to explore The New Frontier ?,1
HUM, What presidential press secretary dismissed Watergate as a third-rate burglary attempt ?,1
HUM, What professional cricketer 's son wrote The War of the Worlds in 1898 ?,1
HUM, What professional sports league originated the college draft ?,1
HUM, What pseudonym did William Sydney Porter use in writing The Gift of the Magi ?,1
HUM," What radio , TV and movie character did Jackie Gleason and William Bendix play ?",1
HUM, What radio station did Paul Harvey work for ?,1
HUM, What record company produced the 1978 movie The Wiz ?,1
HUM, What record company was formed by Herb Alpert and Jerry Moss ?,1
HUM, What relative of Leo Tolstoy translated War and Peace eight times ?,1
HUM, What robust U.S. President imported his own instructor after seeing a judo match ?,1
HUM, What rock group raised a ruckus at the White House by singing American Woman ?,1
HUM, What role do fruits play in the survival of plants ?,1
HUM, What school does Tom attend in Tom Brown 's School Days ?,1
HUM," What schools in the Washington , DC NN NN VBP NN NN NN NN .",1
HUM, What singer 's hit song inspired the Dolly Parton Stallone movie Rhinestone ?,1
HUM, What singer 's theme song was When the Moon Comes over the Mountain ?,1
HUM," What singer became despondent over the death of Freddie Prinze , quit show business , and then quit the business ?",1
HUM, What singer sings `` Oh Boy '' ?,1
HUM, What six-foot temperance advocate wielded her hatchet on saloons ?,1
HUM, What son of a 15-year-old Mexican girl and a half-Irish father became the world 's most famous Greek ?,1
HUM, What spy novelist served as Moscow correspondent for Reuter and The Times of London ?,1
HUM, What stereo manufacturer is `` Slightly ahead of its time '' ?,1
HUM, What store claims to be the world 's largest department store ?,1
HUM, What store does Martha Stewart advertise for ?,1
HUM, What suburban housewife and mother of three wrote The Feminine Mystique ?,1
HUM, What task does the Bouvier breed of dog perform ?,1
HUM, What team did Babe Ruth play his first major league game for ?,1
HUM, What team did baseball 's St. Louis Browns become ?,1
HUM, What television network flogged its sports programming on Inga Nielsen 's body in 197 ?,1
HUM, What tennis player has the nickname `` Nasty '' ?,1
HUM, What terrorist group was headed by Donald DeFreeze ?,1
HUM, What title did Shevardnadze have during the Soviet era ?,1
HUM, What title did Suzette Charles assume for two months in 1984 ?,1
HUM, What title does comedian Henry Youngman claim ?,1
HUM, What toy company is the world 's No.1 maker of female apparel ?,1
HUM, What two New York Yankee pitchers swapped wives and families ?,1
HUM, What two US biochemists won the Nobel Prize in medicine in 1992 ?,1
HUM, What two baseball players make up the battery ?,1
HUM, What two commanders directed the forces in the Battle of El Alamein ?,1
HUM," What two historical figures , who fought each other in a famous battle , each have a food named after them ?",1
HUM, What two presidents of the U.S. published books of poetry ?,1
HUM, What university fired Angela Davis ?,1
HUM, What university football team did O.J. Simpson take to the Rose Bowl ?,1
HUM, What university was Woodrow Wilson President of ?,1
HUM, What video game hero do some of his fans call Chomper ?,1
HUM, What was Al Capone 's nickname ?,1
HUM, What was American folk hero John Chapman 's nickname ?,1
HUM, What was Darth Vader 's son named ?,1
HUM, What was Eduard Shevardnadze 's job in the Soviet Union ?,1
HUM, What was Fred Astaire 's dancing partner 's name ?,1
HUM, What was Mao 's second name ?,1
HUM," What was Mao , the Chinese leader 's , full name ?",1
HUM, What was Marilyn Monroe 's real name ?,1
HUM, What was Michelangelo 's last name ?,1
HUM, What was Queen Victoria 's title regarding India ?,1
HUM, What was Thatcher 's first name ?,1
HUM, What was William F. Cody 's better-known name ?,1
HUM, What was called the world 's largest department store ?,1
HUM, What was football star Elroy Hirsch 's nickname ?,1
HUM, What was her real name ?,1
HUM, What was the Christian name of the title character in Our Miss Brooks ?,1
HUM, What was the Ventura County police department that seized the county 's largest amount of cocaine ever ?,1
HUM, What was the backup singing group for Roy Rogers ?,1
HUM, What was the business of the animated Sky Hawks ?,1
HUM, What was the first U.S.-based team in the NHL ?,1
HUM, What was the infamous pseudonym of Peter Sutcliffe ?,1
HUM, What was the man 's name who was killed in a duel with Aaron Burr ?,1
HUM," What was the name given the 6 , 500 German airforce troops that used the Spanish Civil War as a training exercise ?",1
HUM, What was the name of Darth Vader 's son ?,1
HUM, What was the name of Humphrey Bogart 's club in Casablanca ?,1
HUM, What was the name of Randy Craft 's lawyer ?,1
HUM, What was the name of Randy Steven Craft 's lawyer ?,1
HUM, What was the name of `` The Muppets '' creator ?,1
HUM, What was the name of the 187s Irish terrorist group in Pennsylvania mining areas ?,1
HUM, What was the name of the Confederate mounted guerrilla group with which Jesse James and Coleman Younger had ridden ?,1
HUM, What was the name of the Titanic 's captain ?,1
HUM, What was the name of the US helicopter pilot shot down over North Korea ?,1
HUM, What was the name of the cook on Rawhide ?,1
HUM, What was the name of the daughter of the Virginia chief Powhatan that married John Rolfe ?,1
HUM, What was the name of the director of the movie `` Jaws '' ?,1
HUM, What was the name of the first Russian astronaut to do a spacewalk ?,1
HUM," What was the name of the first Watergate special prosecutor , later fired by Nixon ?",1
HUM, What was the name of the lawyer who represented Randy Craft ?,1
HUM, What was the name of the lawyer who represented Randy Steven Craft ?,1
HUM," What was the nickname of Frederick I , Holy Roman Emperor and King of Germany ?",1
HUM, What was the nickname of German flying ace Manfred von Richthofen ?,1
HUM, What was the nickname of model Leslie Hornby ?,1
HUM, What was the occupation of Mandy Rice-Davies ?,1
HUM, What was the player 's name who played nose tackle for the Eagles in Super Bowl XV ?,1
HUM, What was the previous name for the Commonwealth ?,1
HUM," What was the real name of writer Ross Macdonald , creator of the hero Lew Archer ?",1
HUM, What was the role of the Medieval Guild ?,1
HUM, What well-known TV talk show host was a lay preacher by the time he was seventeen ?,1
HUM, What well-known actor is the father of star Alan Alda ?,1
